Station,Site,2014-07-28,2014-08-03,2014-08-09,2014-08-15,2014-08-21,2014-08-27,2014-09-02,2014-09-08,2014-09-14,2014-09-20
0005,San Jose - Jackson,0.0013,0.0009,0.0008,0.0023,0.0017,0.0028,0.0017,0.0013,0.0015,0.0015
0006,Sacramento-Del Paso Manor,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0
