,Parameter,Date,Time,County,Station,Measurement,Unit
66,Carbon monoxide,1992-07-03,02:00,San Bernardino,9004,1.0,Parts per million
67,Carbon monoxide,1992-07-03,01:00,San Bernardino,9004,1.0,Parts per million
68,Carbon monoxide,1992-07-03,00:00,San Bernardino,9004,1.0,Parts per million
69,Carbon monoxide,1992-07-02,23:00,San Bernardino,9004,1.0,Parts per million
70,Carbon monoxide,1992-07-02,22:00,San Bernardino,9004,1.0,Parts per million
71,Carbon monoxide,1992-07-02,21:00,San Bernardino,9004,1.0,Parts per million
72,Carbon monoxide,1992-07-02,20:00,San Bernardino,9004,1.0,Parts per million
73,Carbon monoxide,1992-07-02,19:00,San Bernardino,9004,1.0,Parts per million
74,Carbon monoxide,1992-07-02,18:00,San Bernardino,9004,1.0,Parts per million
75,Carbon monoxide,1992-07-02,17:00,San Bernardino,9004,1.0,Parts per million
76,Carbon monoxide,1992-07-02,16:00,San Bernardino,9004,1.0,Parts per million
77,Carbon monoxide,1992-07-02,15:00,San Bernardino,9004,1.0,Parts per million
78,Carbon monoxide,1992-07-02,14:00,San Bernardino,9004,1.0,Parts per million
79,Carbon monoxide,1992-07-02,13:00,San Bernardino,9004,1.0,Parts per million
80,Carbon monoxide,1992-07-02,12:00,San Bernardino,9004,1.0,Parts per million
81,Carbon monoxide,1992-07-02,11:00,San Bernardino,9004,1.0,Parts per million
82,Carbon monoxide,1992-07-02,10:00,San Bernardino,9004,1.0,Parts per million
83,Carbon monoxide,1992-07-02,09:00,San Bernardino,9004,1.0,Parts per million
84,Carbon monoxide,1992-07-02,08:00,San Bernardino,9004,1.0,Parts per million
85,Carbon monoxide,1992-07-02,07:00,San Bernardino,9004,1.0,Parts per million
86,Carbon monoxide,1992-07-02,06:00,San Bernardino,9004,1.0,Parts per million
87,Carbon monoxide,1992-07-02,05:00,San Bernardino,9004,1.0,Parts per million
88,Carbon monoxide,1992-07-02,03:00,San Bernardino,9004,1.0,Parts per million
89,Carbon monoxide,1992-07-02,02:00,San Bernardino,9004,1.0,Parts per million
90,Carbon monoxide,1992-07-02,01:00,San Bernardino,9004,1.0,Parts per million
91,Carbon monoxide,1992-07-02,00:00,San Bernardino,9004,1.0,Parts per million
92,Carbon monoxide,1992-07-01,23:00,San Bernardino,9004,1.0,Parts per million
93,Carbon monoxide,1992-07-01,22:00,San Bernardino,9004,1.0,Parts per million
94,Carbon monoxide,1992-07-01,21:00,San Bernardino,9004,1.0,Parts per million
95,Carbon monoxide,1992-07-01,20:00,San Bernardino,9004,1.0,Parts per million
96,Carbon monoxide,1992-07-01,19:00,San Bernardino,9004,1.0,Parts per million
97,Carbon monoxide,1992-07-01,18:00,San Bernardino,9004,1.0,Parts per million
98,Carbon monoxide,1992-07-01,17:00,San Bernardino,9004,1.0,Parts per million
99,Carbon monoxide,1992-07-01,16:00,San Bernardino,9004,1.0,Parts per million
100,Carbon monoxide,1992-07-01,15:00,San Bernardino,9004,0.0,Parts per million
101,Carbon monoxide,1992-07-01,14:00,San Bernardino,9004,0.0,Parts per million
102,Carbon monoxide,1992-07-01,13:00,San Bernardino,9004,0.0,Parts per million
103,Carbon monoxide,1992-07-01,12:00,San Bernardino,9004,0.0,Parts per million
104,Carbon monoxide,1992-07-01,11:00,San Bernardino,9004,0.0,Parts per million
105,Carbon monoxide,1992-07-01,10:00,San Bernardino,9004,0.0,Parts per million
106,Carbon monoxide,1992-07-01,09:00,San Bernardino,9004,0.0,Parts per million
107,Carbon monoxide,1992-07-01,08:00,San Bernardino,9004,0.0,Parts per million
108,Carbon monoxide,1992-07-01,07:00,San Bernardino,9004,0.0,Parts per million
109,Carbon monoxide,1992-07-01,06:00,San Bernardino,9004,0.0,Parts per million
